metric,model_alias,model_name,pair_type,interface,random_seed,n_pairs,mean_adjusted_gain,adjusted_gain_sd,positive_pair_rate,standardized_detectability
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_expected_taboo_normal,101,512,1.589257013052702,0.5478599652523639,1.0,2.900845314223012
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_normal_expected_taboo,13,512,0.7923414794107279,0.4876690935688048,0.986328125,1.624752295890445
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_normal_expected_taboo,29,512,0.6986043291787306,0.5370654165389942,0.94140625,1.3007807013170578
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_normal_expected_taboo,47,512,0.8622315786778927,0.5010670231827495,0.9921875,1.720790909769009
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_normal_expected_taboo,71,512,0.695539421091477,0.4571944321020071,0.96484375,1.5213208478800797
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_normal_expected_taboo,101,512,0.6570374307533106,0.4988991635402788,0.93359375,1.316974408397188
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_normal_taboo_expected,13,512,1.688769134382407,0.6217694103549631,1.0,2.716069826301526
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_normal_taboo_expected,29,512,1.6750516618291538,0.676238846967056,1.0,2.477011886172751
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_normal_taboo_expected,47,512,1.8036392132441204,0.6586623672848066,1.0,2.7383365178114447
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_normal_taboo_expected,71,512,1.5261007472872734,0.5647684768254153,1.0,2.7021705529061086
