scope,identifier_set,component,metric,estimate,ci_low,ci_high,n_groups,n_unique_pairs,n_model_contrast_mapping_strata,confidence,n_boot,inference_unit
common_competence,letters_abc,residual,id_advantage,-0.23769910471179548,-0.25552968163449225,-0.220525068778481,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_xyz,raw,extraction_identifier_effect,1.4502014053555636,1.423931898957653,1.4762787552303203,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_xyz,raw,current_label_effect,1.1335684462951927,1.0806346040605272,1.184497550643494,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_xyz,raw,id_advantage,0.3166329590603709,0.2529583685111724,0.3829618226743261,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_xyz,projection,extraction_identifier_effect,1.3776707526009817,1.3572967531552147,1.3978923882588885,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_xyz,projection,current_label_effect,0.7600918961211275,0.7184741748220811,0.8003964413100644,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_xyz,projection,id_advantage,0.6175788564798541,0.5702512010418939,0.6654384074722739,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_xyz,residual,extraction_identifier_effect,0.06333127417243443,0.0499196068975617,0.0773082464970241,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_xyz,residual,current_label_effect,0.3737722840398932,0.36142852272020376,0.3864699128722146,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_xyz,residual,id_advantage,-0.31044100986745876,-0.3319712112088066,-0.28765645778519805,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,numbers_123,raw,extraction_identifier_effect,0.39028534366008943,0.3825586452531734,0.3980844436249998,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,numbers_123,raw,current_label_effect,0.07722223634855488,0.06939479671976281,0.08525108353450407,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,numbers_123,raw,id_advantage,0.3130631073115346,0.2998886098171073,0.3261004490245185,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,numbers_123,projection,extraction_identifier_effect,0.32498167394302213,0.3191087801229694,0.33095351811172113,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,numbers_123,projection,current_label_effect,0.040453244848415636,0.033807878263041546,0.04721815470740298,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,numbers_123,projection,id_advantage,0.28452842909460646,0.27403858058617114,0.2953328221717037,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,numbers_123,residual,extraction_identifier_effect,0.0730017780039746,0.06936973596863168,0.07664977672609395,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,numbers_123,residual,current_label_effect,0.0334020408276373,0.03057728831657922,0.03620742461413164,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,numbers_123,residual,id_advantage,0.0395997371763373,0.034264652992923854,0.04496640067488102,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
