requested_layer_fraction,mode,metric,mean,ci_low,ci_high,ci_excludes_zero,n_pairs,n_groups,n_strata,n_boot,confidence,inference_unit
0.875,raw_canonical_direction,source_interface_effect,0.2898662352818064,0.2790742061557837,0.3005094452206801,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,raw_canonical_direction,current_label_effect,-0.0188249443963499,-0.0255419055821334,-0.0122945221280344,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,raw_canonical_direction,extraction_identifier_effect,0.2336107744621851,0.2281637617369354,0.2388905127327167,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,raw_canonical_direction,extraction_identifier_advantage,0.3025064371709839,0.2928320003424774,0.3127109702661595,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,readout_orthogonal_norm_matched,source_interface_effect,0.0034443462570076,0.0021841199639272,0.0048095769430211,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,readout_orthogonal_norm_matched,current_label_effect,0.000148829355453,-0.0006354460644225,0.0009289854355526,False,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,readout_orthogonal_norm_matched,extraction_identifier_effect,0.0054704784669108,0.0044607731975469,0.0064963928375751,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,readout_orthogonal_norm_matched,extraction_identifier_advantage,0.0061098827919749,0.0045581851262688,0.0076390545476587,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,readout_projection_norm_matched,source_interface_effect,0.5287418218358653,0.5140036011083757,0.5427499421613978,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,readout_projection_norm_matched,current_label_effect,-0.030621584847941,-0.0415676258986346,-0.0190699902095912,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,readout_projection_norm_matched,extraction_identifier_effect,0.4046899087704598,0.4001224243151421,0.4094598800912881,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,readout_projection_norm_matched,extraction_identifier_advantage,0.5348460110236215,0.5200543779046164,0.5505740303516867,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
